url,status,merchant,title,currency,price,selected_option,lists,note,date_saved,last_updated,purchased_on,purchased_price,image_url
https://www.ralphlauren.com/women-clothing-pants/double-faced-georgette-wide-leg-pant/647632.html,unpurchased,Ralph Lauren,Double-Faced Georgette Wide-Leg Pant,USD,$175.00,,"All items,Pants",,2024-12-24 09:52:43.114594 +1100 AEDT,2025-06-23 16:51:12.504993 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1483815_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-footwear-shoes/lynden-burnished-leather-pump/100004492.html,unpurchased,Ralph Lauren,Lynden Burnished Leather Pump,USD,$195.00,,"All items,Shoes",,2024-12-24 09:48:55.928435 +1100 AEDT,2025-09-25 16:41:20.148133 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI802946161001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-shirts-blouses/destry-striped-cotton-shirt/100034081.html,unpurchased,Ralph Lauren,Destry Striped Cotton Shirt,USD,$690.00,,"All items,Shirts & blouses",,2024-12-24 09:45:39.80798 +1100 AEDT,2025-05-01 12:53:14.608109 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI290955050001_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-dresses/vicki-striped-cotton-day-dress/100034134.html,unpurchased,Ralph Lauren,Vicki Striped Cotton Day Dress,USD,"$1,290.00",,"All items,Dresses",,2024-12-24 09:42:45.824805 +1100 AEDT,2025-05-22 15:39:47.932326 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI290955063001_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-dresses/belted-striped-cotton-shirtdress/638600.html,unpurchased,Ralph Lauren,Belted Striped Cotton Shirtdress,USD,$248.00,,"All items,Dresses",,2024-12-24 09:42:29.429025 +1100 AEDT,2025-07-07 15:37:19.94805 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1470101_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-blazers/double-breasted-checked-blazer/100029719.html,unpurchased,Ralph Lauren,Double-Breasted Checked Blazer,USD,$99.99,,"All items,Blazers",,2024-12-24 09:37:06.548036 +1100 AEDT,2025-07-01 16:32:48.48397 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI200951204001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-sweaters/cable-knit-cotton-blend-turtleneck/654008.html,unpurchased,Ralph Lauren,Cable-Knit Cotton-Blend Turtleneck,USD,$109.99,,"All items,Sweaters & Cardigans",,2024-12-24 09:35:53.596907 +1100 AEDT,2025-07-09 15:43:19.697343 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1493606_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-sweaters/button-trim-mockneck-sweater/627377.html,unpurchased,Ralph Lauren,Button-Trim Mockneck Sweater,USD,$104.99,,"All items,Sweaters & Cardigans",,2024-12-24 09:35:23.722754 +1100 AEDT,2025-06-13 17:41:48.84879 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1458835_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-sweaters/striped-wool-blend-turtleneck-sweater/100042009.html,unpurchased,Ralph Lauren,Striped Wool-Blend Turtleneck Sweater,USD,$149.99,,"All items,Sweaters & Cardigans",,2024-12-24 09:35:10.700207 +1100 AEDT,2025-06-27 17:59:40.396108 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI200957456001_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-sweaters/striped-button-trim-cable-knit-sweater/100042023.html,unpurchased,Ralph Lauren,Striped Button-Trim Cable-Knit Sweater,USD,$395.00,,"All items,Sweaters & Cardigans",,2024-12-24 09:35:01.189056 +1100 AEDT,2025-01-15 11:08:13.658154 +1100 AEDT,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI200957480002_alternate10?$rl_4x5_pdp$
